Title,Author,Author l-f,my_rating,average_rating,pages,publication_year,Date Added,target,genre_1,Genre2,features
Saint Augustine's Confessions,Augustine of Hippo,"Hippo, Augustine of",3.5,3.99,423,400,11/10/23,0, Autobiography , Philosophy ,3.99 423 400
The Giving Tree,Shel Silverstein,"Silverstein, Shel",3.7,4.38,64,1964,12/27/23,1, Children's Literature , Poetry,4.38 64 1964
The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",3.7,4.33,96,1943,11/10/23,1, Children's Literature , Philosophy,4.33 96 1943
Charlotte's Web,E.B. White,"White, E.B.",3.3,4.21,184,1952,12/27/23,1, Children's Literature , Fiction,4.21 184 1952
The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",3.5,3.79,189,1926,11/10/23,2, Classic , Fiction,3.79 189 1926
Pantagruel,François Rabelais,"Rabelais, François",3.5,3.56,439,1532,11/10/23,2, Classic , Satire ,3.56 439 1532
Medea (Masters of Latin Literature),Seneca,"Seneca, Seneca",3.2,4.04,128,50,11/10/23,3, Drama , Classic ,4.04 128 50
Romeo and Juliet,William Shakespeare,"Shakespeare, William",3.6,3.74,281,1590,2/3/23,3, Drama , Tragedy ,3.74 281 1590
The Crucible,Arthur Miller,"Miller, Arthur",3.3,3.61,143,1953,2/3/23,3, Drama , Historical ,3.61 143 1953
"Paradiso (The Divine Comedy, #3)",Dante Alighieri,"Alighieri, Dante",3.2,3.96,400,1321,11/10/23,4, Epic Poetry , Classic,3.96 400 1321
Beowulf,Beowulf Poet,"Poet, Beowulf",3.7,3.5,259,1000,11/10/23,4, Epic Poetry , Classic,3.5 259 1000
Les Paradis artificiels,Charles Baudelaire,"Baudelaire, Charles",3.5,3.78,256,1860,11/10/23,5, Essays , French Literature,3.78 256 1860
Suspiria De Profundis and Other Writings,Thomas de Quincey,"Quincey, Thomas de",3.9,3.62,103,2007,11/10/23,5, Essays , Non-fiction ,3.62 103 2007
Nectar in a Sieve,Kamala Markandaya,"Markandaya, Kamala",3.6,3.69,186,1954,11/10/23,7, Fiction,,3.69 186 1954
The Immortalist,André Gide,"Gide, André",3.5,3.55,0,1902,11/10/23,7, Fiction , Philosophy,3.55 0 1902
On the Road,Jack Kerouac,"Kerouac, Jack",3.5,3.61,307,1957,2/3/23,7, Fiction , Beat Generation,3.61 307 1957
Salammbo,Gustave Flaubert,"Flaubert, Gustave",3.4,3.73,288,1862,11/10/23,7, Fiction , Historical Fiction,3.73 288 1862
West Side Story,Irving Shulman,"Shulman, Irving",3.1,4.1,160,1961,11/10/23,7, Fiction , Musical ,4.1 160 1961
Animal Farm,George Orwell,"Orwell, George",3.7,4.01,141,1945,2/3/23,7, Fiction , Political Satire,4.01 141 1945
A Simple Heart,Gustave Flaubert,"Flaubert, Gustave",3.5,3.45,68,1877,11/10/23,7, Fiction , Classic,3.45 68 1877
Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",3.8,3.9,293,1962,11/10/23,7, Fiction , Fantasy ,3.9 293 1962
Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",3.2,4.15,306,1963,2/3/23,7, Fiction , Science Fiction ,4.15 306 1963
Lord of the Flies,William Golding,"Golding, William",3.2,3.7,182,1954,2/3/23,7, Fiction , Classic ,3.7 182 1954
The Call of the Wild,Jack London,"London, Jack",3.2,3.91,172,1903,11/10/23,7, Fiction , Adventure,3.91 172 1903
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,"Verne, Jules",3.4,3.89,269,1869,11/10/23,7, Fiction , Science Fiction ,3.89 269 1869
The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel",3.9,3.44,279,1850,2/3/23,7, Fiction , Classic ,3.44 279 1850
The Canterbury Tales,Geoffrey Chaucer,"Chaucer, Geoffrey",3.3,3.52,504,1400,11/10/23,7, Fiction , Classic ,3.52 504 1400
"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman",3.7,3.56,720,1851,11/10/23,7, Fiction , Classic ,3.56 720 1851
Around the World in Eighty Days,Jules Verne,"Verne, Jules",3.7,3.95,252,1872,11/10/23,7, Fiction , Adventure ,3.95 252 1872
The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",3.3,3.69,149,1774,11/10/23,7, Fiction , Classic ,3.69 149 1774
"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki",3.5,3.95,944,2009,11/10/23,7, Fiction , Magical Realism ,3.95 944 2009
High-Rise,J.G. Ballard,"Ballard, J.G.",3.5,3.6,208,1975,11/10/23,7, Fiction , Dystopian ,3.6 208 1975
The Alchemist,Paulo Coelho,"Coelho, Paulo",3.2,3.92,182,1988,2/3/23,7, Fiction , Allegorical ,3.92 182 1988
Go Set a Watchman,Harper Lee,"Lee, Harper",3.6,3.31,278,2015,11/10/23,7, Fiction , Classic ,3.31 278 2015
Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",3.3,3.59,176,1966,11/10/23,7, Fiction , Classic ,3.59 176 1966
1984,George Orwell,"Orwell, George",3.2,4.2,368,1949,11/10/23,7, Fiction , Dystopian ,4.2 368 1949
The 47 Ronin Story,John Allyn,"Allyn, John",3.7,3.72,224,1970,11/10/23,9, History , Non-fiction ,3.72 224 1970
"The Shining (The Shining, #1)",Stephen King,"King, Stephen",3.5,4.28,497,1977,11/10/23,10, Horror , Fiction,4.28 497 1977
It,Stephen King,"King, Stephen",3.9,4.24,1184,1986,11/10/23,10, Horror , Fiction,4.24 1184 1986
Salem's Lot,Stephen King,"King, Stephen",3.6,4.1,483,1975,11/10/23,10, Horror , Fiction,4.1 483 1975
Dreamcatcher,Stephen King,"King, Stephen",3.5,3.66,688,2001,11/10/23,10, Horror , Science Fiction,3.66 688 2001
Carrie,Stephen King,"King, Stephen",3.5,3.99,272,1974,11/10/23,10, Horror , Fiction,3.99 272 1974
Cujo,Stephen King,"King, Stephen",3.4,3.8,432,1981,11/10/23,10, Horror , Fiction,3.8 432 1981
Pet Sematary,Stephen King,"King, Stephen",3.1,4.08,580,1983,11/10/23,10, Horror , Fiction,4.08 580 1983
Murder on the Orient Express,Agatha Christie,"Christie, Agatha",3.7,4.2,274,1934,11/10/23,12, Mystery , Crime ,4.2 274 1934
The Diary of a Young Girl,Anne Frank,"Frank, Anne",3.5,4.2,283,1947,11/10/23,13, Non-fiction , Memoir ,4.2 283 1947
The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,"Keller, Timothy J.",3.8,4.43,139,2008,11/10/23,13, Non-fiction , Religion ,4.43 139 2008
"Urban Mindfulness: Cultivating Peace, Presence, and Purpose in the Middle of It All",Jonathan S. Kaplan,"Kaplan, Jonathan S.",3.2,3.32,200,2010,11/10/23,13, Non-fiction , Self-help ,3.32 200 2010
Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault,"Foucault, Michel",3.2,4.09,299,1961,11/10/23,14, Philosophy , History,4.09 299 1961
Poetics,Aristotle,"Aristotle, Aristotle",3.2,3.83,144,-335,11/10/23,14, Philosophy , Classic ,3.83 144 -335
The Complete Collected Poems,Maya Angelou,"Angelou, Maya",3.4,4.44,273,1994,11/10/23,15, Poetry,,4.44 273 1994
The Complete Poetry,John Milton,"Milton, John",3.5,4.06,672,1645,11/10/23,15, Poetry , Classic,4.06 672 1645
An Essay On Criticism,Alexander Pope,"Pope, Alexander",3.5,3.78,48,1711,11/10/23,15, Poetry , Essay ,3.78 48 1711
"The Fall of Icarus (Penguin Little Black Classics, #73)",Ovid,"Ovid, Ovid",3.4,3.4,56,8,11/10/23,15, Poetry , Classical ,3.4 56 8
Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,"Chomsky, Noam",3.1,4.02,103,1995,11/10/23,16, Political Science , Non-fiction,4.02 103 1995
Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",3.7,3.92,525,1961,11/10/23,17, Science Fiction,,3.92 525 1961
The Crystal World,J.G. Ballard,"Ballard, J.G.",3.5,3.6,210,1966,11/10/23,17, Science Fiction , Dystopian,3.6 210 1966
The Time Machine,H.G. Wells,"Wells, H.G.",3.8,3.89,118,1895,11/10/23,17, Science Fiction , Classic,3.89 118 1895
The Drowned World,J.G. Ballard,"Ballard, J.G.",3.2,3.47,198,1962,2/3/23,17, Science Fiction , Dystopian,3.47 198 1962
World-Systems Analysis: An Introduction,Immanuel Wallerstein,"Wallerstein, Immanuel",3.2,3.93,110,2004,2/23/24,19, Sociology , Non-fiction,3.93 110 2004
The Outsiders,S.E. Hinton,"Hinton, S.E.",3.2,4.14,208,1967,11/10/23,21, Young Adult , Fiction,4.14 208 1967
Bridge to Terabithia,Katherine Paterson,"Paterson, Katherine",3.4,4.06,190,1977,11/10/23,21, Young Adult , Fiction ,4.06 190 1977
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,Camille Paglia,"Paglia, Camille",3.2,3.99,736,1990,2/3/23,22,Essays, Non-fiction,3.99 736 1990
Night,Elie Wiesel,"Wiesel, Elie",4.4,4.38,120,1956,2/3/23,0, Autobiography , Holocaust Literature,4.38 120 1956
The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",4.8,3.93,180,1925,2/3/23,2, Classic , Fiction,3.93 180 1925
Candide,Voltaire,"Voltaire, Voltaire",4.5,3.76,129,1759,2/3/23,2, Classic , Satire,3.76 129 1759
A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",4.6,3.98,107,1947,2/3/23,3, Drama , Play,3.98 107 1947
The Bacchae,Euripides,"Euripides, Euripides",4.3,3.94,96,-405,11/10/23,3, Drama , Tragedy ,3.94 96 -405
The Glass Menagerie,Tennessee Williams,"Williams, Tennessee",4.2,3.74,104,1945,2/3/23,3, Drama , Play,3.74 104 1945
Julius Caesar,William Shakespeare,"Shakespeare, William",4.7,3.71,175,1599,2/3/23,3, Drama , Tragedy ,3.71 175 1599
Othello,William Shakespeare,"Shakespeare, William",4.9,3.89,319,1603,2/3/23,3, Drama , Tragedy ,3.89 319 1603
Cat on a Hot Tin Roof,Tennessee Williams,"Williams, Tennessee",4.2,4.06,208,1955,2/3/23,3, Drama , Play ,4.06 208 1955
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante",4,4.08,798,1320,11/10/23,4, Epic Poetry , Classic,4.08 798 1320
Paradise Lost,John Milton,"Milton, John",4,3.85,453,1667,2/3/23,4, Epic Poetry , Classic,3.85 453 1667
"The Divine Comedy of Dante Alighieri, Volume 2: Purgatorio",Dante Alighieri,"Alighieri, Dante",4,4.05,704,1321,11/10/23,4, Epic Poetry , Classic,4.05 704 1321
Inferno,Dante Alighieri,"Alighieri, Dante",4,4.03,490,1320,2/3/23,4, Epic Poetry , Classic ,4.03 490 1320
The Iliad,Homer,"Homer, Homer",4,3.93,848,-800,11/10/23,4, Epic Poetry , Classic ,3.93 848 -800
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",4,4.43,352,1998,11/10/23,6, Fantasy , Young Adult,4.43 352 1998
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",4.3,4.5,870,2003,11/10/23,6, Fantasy , Young Adult,4.5 870 2003
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",4.4,4.01,183,1968,11/10/23,6, Fantasy , Young Adult,4.01 183 1968
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",4.8,4.62,759,2007,11/10/23,6, Fantasy , Young Adult,4.62 759 2007
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",4.5,4.47,333,1997,11/10/23,6, Fantasy , Young Adult,4.47 333 1997
Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul",4.6,3.93,178,1938,11/10/23,7, Fiction , Existentialism,3.93 178 1938
Siddhartha,Hermann Hesse,"Hesse, Hermann",4.3,4.08,152,1922,9/10/24,7, Fiction , Philosophical Fiction,4.08 152 1922
The Dharma Bums,Jack Kerouac,"Kerouac, Jack",4.2,3.93,244,1958,11/10/23,7, Fiction , Beat Generation,3.93 244 1958
Les Misérables,Victor Hugo,"Hugo, Victor",4.7,4.21,1463,1862,11/10/23,7, Fiction , Classic ,4.21 1463 1862
Queer,William S. Burroughs,"Burroughs, William S.",4.9,3.49,160,1985,2/3/23,7, Fiction , Experimental,3.49 160 1985
The Stranger,Albert Camus,"Camus, Albert",4.2,4.03,123,1942,2/3/23,7, Fiction , Existentialism,4.03 123 1942
Light in August,William Faulkner,"Faulkner, William",4,3.94,507,1932,2/3/23,7, Fiction , Southern Gothic,3.94 507 1932
The Woman in the Dunes,K_b_ Abe,"Abe, K_b_",4,3.88,241,1962,11/10/23,7, Fiction , Surreal ,3.88 241 1962
"The Hamlet (The Snopes Trilogy, #1)",William Faulkner,"Faulkner, William",4,3.86,409,1940,11/10/23,7, Fiction , Southern Gothic,3.86 409 1940
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,"Rilke, Rainer Maria",4,3.93,237,1910,2/3/23,7, Fiction , Modernist Literature,3.93 237 1910
After Many a Summer Dies the Swan,Aldous Huxley,"Huxley, Aldous",4,3.71,368,1939,9/11/24,7, Fiction , Philosophical Fiction,3.71 368 1939
Things Fall Apart,Chinua Achebe,"Achebe, Chinua",4,3.74,215,1958,2/3/23,7, Fiction , Classic ,3.74 215 1958
Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",4.3,3.77,430,1934,11/10/23,7, Fiction , Classic,3.77 430 1934
Lolita,Vladimir Nabokov,"Nabokov, Vladimir",4.4,3.87,368,1955,2/3/23,7, Fiction , Literary Fiction ,3.87 368 1955
The Centaur,John Updike,"Updike, John",4.8,3.7,304,1963,7/24/24,7, Fiction , Modern Literature,3.7 304 1963
The Green Mile,Stephen King,"King, Stephen",4.5,4.49,592,1996,11/10/23,7, Fiction , Fantasy ,4.49 592 1996
The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",4.6,4.14,607,1994,11/10/23,7, Fiction , Magical Realism,4.14 607 1994
This Side of Paradise,F. Scott Fitzgerald,"Fitzgerald, F. Scott",4.3,3.63,275,1920,11/10/23,7, Fiction , Classic,3.63 275 1920
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",4.2,4.06,204,1971,2/3/23,7, Fiction , Gonzo Journalism,4.06 204 1971
Steppenwolf,Hermann Hesse,"Hesse, Hermann",4.7,4.13,256,1927,11/10/23,7, Fiction , Philosophical Fiction,4.13 256 1927
Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",4.9,4.1,275,1969,2/3/23,7, Fiction , Science Fiction ,4.1 275 1969
Norwegian Wood,Haruki Murakami,"Murakami, Haruki",4.2,3.99,296,1987,2/3/23,7, Fiction , Romance ,3.99 296 1987
Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",4,4.17,246,1962,2/3/23,7, Fiction , Poetry ,4.17 246 1962
The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",4,3.8,277,1951,2/3/23,7, Fiction , Classic ,3.8 277 1951
Crash,J.G. Ballard,"Ballard, J.G.",4,3.6,224,1973,11/10/23,7, Fiction , Experimental ,3.6 224 1973
Another Country,James Baldwin,"Baldwin, James",4,4.3,448,1962,11/10/23,7, Fiction , LGBTQ+ Literature,4.3 448 1962
Factotum,Charles Bukowski,"Bukowski, Charles",4,3.92,205,1975,11/10/23,7, Fiction , Semi-autobiographical,3.92 205 1975
Wuthering Heights,Emily Brontë,"Brontë, Emily",4,3.9,464,1847,2/3/23,7, Fiction , Classic ,3.9 464 1847
Cousin Bette,Honoré de Balzac,"Balzac, Honoré de",4.3,3.85,496,1846,12/27/23,7, Fiction , Classic ,3.85 496 1846
Of Mice and Men,John Steinbeck,"Steinbeck, John",4.5,3.89,107,1937,2/3/23,7, Fiction , Classic ,3.89 107 1937
Nostromo,Joseph Conrad,"Conrad, Joseph",4.3,3.81,336,1904,2/3/23,7, Fiction , Classic ,3.81 336 1904
The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",4.2,4.32,1276,1846,11/10/23,7, Fiction , Adventure ,4.32 1276 1846
A Tale of Two Cities,Charles Dickens,"Dickens, Charles",4.1,3.88,489,1859,11/11/23,7, Fiction , Classic ,3.88 489 1859
Emma,Jane Austen,"Austen, Jane",4.8,4.05,474,1815,11/10/23,7, Fiction , Classic ,4.05 474 1815
Heart of Darkness,Joseph Conrad,"Conrad, Joseph",4.7,3.43,188,1899,2/3/23,7, Fiction , Classic ,3.43 188 1899
The Razor's Edge,W. Somerset Maugham,"Maugham, W. Somerset",4.5,4.19,314,1944,11/10/23,7, Fiction , Classic ,4.19 314 1944
Where Angels Fear to Tread,E.M. Forster,"Forster, E.M.",4.3,3.59,148,1905,2/3/23,7, Fiction , Classic ,3.59 148 1905
Germinal,Émile Zola,"Zola, Émile",4.5,4.2,592,1885,11/10/23,7, Fiction , Classic ,4.2 592 1885
Sentimental Education,Gustave Flaubert,"Flaubert, Gustave",4.3,3.81,460,1869,11/10/23,7, Fiction , Classic ,3.81 460 1869
Madame Bovary,Gustave Flaubert,"Flaubert, Gustave",4.2,3.71,329,1856,11/10/23,7, Fiction , Classic ,3.71 329 1856
The Necklace,Guy de Maupassant,"Maupassant, Guy de",4.1,3.84,48,1884,11/10/23,7, Fiction , Short Story ,3.84 48 1884
Against Nature,Joris-Karl Huysmans,"Huysmans, Joris-Karl",4.8,3.8,288,1884,2/8/24,7, Fiction , Decadent Literature,3.8 288 1884
Catch-22,Joseph Heller,"Heller, Joseph",4.7,3.99,453,1961,2/3/23,7, Fiction , Satire ,3.99 453 1961
The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",4.5,4.35,371,2003,11/10/23,7, Fiction , Contemporary ,4.35 371 2003
The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",4.3,4.13,272,1890,1/20/24,7, Fiction , Gothic ,4.13 272 1890
Pnin,Vladimir Nabokov,"Nabokov, Vladimir",4.5,3.88,184,1957,11/10/23,7, Fiction , Literary ,3.88 184 1957
Naked Lunch: The Restored Text,William S. Burroughs,"Burroughs, William S.",4.3,3.46,289,1959,2/3/23,7, Fiction , Experimental ,3.46 289 1959
The House of the Seven Gables,Nathaniel Hawthorne,"Hawthorne, Nathaniel",4.2,3.45,225,1851,2/3/23,7, Fiction , Gothic ,3.45 225 1851
To Kill a Mockingbird,Harper Lee,"Lee, Harper",4.1,4.26,323,1960,2/3/23,7, Fiction , Classic ,4.26 323 1960
Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",4.8,4.12,467,2002,2/3/23,7, Fiction , Magical Realism ,4.12 467 2002
The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark",4.7,3.92,244,1876,11/11/23,7, Fiction , Classic ,3.92 244 1876
Diary of a Madman and Other Stories,Nikolai Gogol,"Gogol, Nikolai",4.5,4.07,84,1835,11/10/23,7, Fiction , Classic ,4.07 84 1835
The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",4.3,4.07,24,1846,11/10/23,7, Fiction , Gothic ,4.07 24 1846
Ham on Rye,Charles Bukowski,"Bukowski, Charles",4.5,4.14,288,1982,11/10/23,7, Fiction , Semi-autobiographical,4.14 288 1982
